Question,Option_A,Option_B,Option_C,Option_D,Answer,Category,subcategory,Highlighted,Explanation_A,Explanation_B,Explanation_C,Explanation_D,High_Yield_Must_Know,One_Line,Accuracy_Review
"A 38-year-old woman presented with dysuria and increased frequency of urination. History reveals, she is allergic to sulfa, penicillin, and shellfish (see report). Blood Pressure 120/80 mmHg, Heart Rate 80 /min, Respiratory Rate 16 /min, Temperature 38.0 C. Urine Dipstick: Positive for leukocyte esterase. Which of the following is the most appropriate treatment?",Nitrofurantoin,Trimethoprim-sulfamethoxazole,Cephalexin,Amoxicillin,A,Internal medicine,Infectious Disease,Highlighted,"CORRECT. Nitrofurantoin is a first-line agent for uncomplicated cystitis, is unrelated to sulfonamides or beta-lactams, and is therefore safe in a patient allergic to both sulfa and penicillin.",Wrong. Trimethoprim-SULFAMETHOXAZOLE contains a SULFONAMIDE and is absolutely contraindicated by her documented sulfa allergy.,Wrong. Cephalexin is a first-generation CEPHALOSPORIN - a beta-lactam - and carries cross-reactivity risk with her penicillin allergy (highest for first-generation agents sharing an R1 side chain).,Wrong. Amoxicillin IS a penicillin and is directly contraindicated; it also has high E. coli resistance rates and is not a first-line agent for cystitis.,"FIRST-LINE THERAPY FOR UNCOMPLICATED CYSTITIS: NITROFURANTOIN 100 mg twice daily for 5 days, TRIMETHOPRIM-SULFAMETHOXAZOLE for 3 days (only where local E. coli resistance is under 20%), or FOSFOMYCIN 3 g as a single dose. Fluoroquinolones are reserved because of tendinopathy, aortic dissection and neuropathy risk. NITROFURANTOIN CAVEATS: it does NOT achieve therapeutic tissue levels in the kidney, so it must NEVER be used for PYELONEPHRITIS; it is contraindicated when creatinine clearance is under 30-60 ml/min; and it is avoided at TERM in pregnancy (36 weeks onwards) and in G6PD deficiency because of haemolysis. Note that shellfish allergy has NO relationship to iodinated contrast media - that is a long-debunked myth.",Sulfa and penicillin allergy in cystitis? Nitrofurantoin is the safe first-line escape.,"Accurate. Note the temperature of 38.0 C raises the question of upper tract involvement - if pyelonephritis were suspected, nitrofurantoin would be the WRONG choice. The stem's other features fit lower tract infection."
"A 59-year-old woman comes to the clinic with headache, dyspnea on exertion and occasional palpitations (see lab results). Hb 95 (130-170 g/L Male, 120-160 g/L Female), MCV 68 (80-95 fl), Platelets count 530 (150-400 x 109/L), Total iron binding capacity 30 (11.6-31.3 umol/L Male, 9-30.4 umol/L Female), Ferritin 3 (20-300 ug/L Male, 20-120 ug/L Female). Which of the following is the most likely diagnosis?",B12 deficiency,Folate deficiency,Iron deficiency anemia,Anemia of chronic disease,C,Internal medicine,Hematology,Highlighted,Wrong. B12 deficiency causes MACROCYTIC anaemia (high MCV) - here MCV is markedly LOW at 68.,"Wrong for the same reason - folate deficiency also causes macrocytic, not microcytic, anaemia.",CORRECT. MICROCYTIC anaemia (MCV 68) with a MARKEDLY LOW FERRITIN and a HIGH-NORMAL/RAISED TIBC is the classic signature of IRON DEFICIENCY ANAEMIA. Reactive THROMBOCYTOSIS (530) commonly accompanies it.,"Wrong. Anaemia of chronic disease shows LOW/normal TIBC with NORMAL/RAISED ferritin (an acute phase reactant) - here ferritin is strikingly LOW and TIBC is HIGH, the opposite pattern.","IRON STUDIES - IRON DEFICIENCY VERSUS ANAEMIA OF CHRONIC DISEASE. IRON DEFICIENCY: LOW ferritin (most reliable marker), LOW serum iron, HIGH TIBC/transferrin, LOW transferrin saturation, HIGH RDW, often reactive thrombocytosis. ANAEMIA OF CHRONIC DISEASE: NORMAL/HIGH ferritin (inflammation-driven), LOW serum iron, LOW/normal TIBC, usually normocytic. CAUSES OF IRON DEFICIENCY AT 59: CHRONIC GI BLOOD LOSS is the leading concern - colorectal or gastric malignancy, peptic ulcer, angiodysplasia. Iron deficiency anaemia over 50 MANDATES BIDIRECTIONAL ENDOSCOPY to find the source, alongside starting iron.",Low ferritin plus high TIBC with a low MCV is classic iron deficiency - and reactive thrombocytosis often rides along.,Accurate.
"A 59-year-old woman comes to the clinic with headache, dyspnea on exertion and occasional palpitations (see lab reults). Hb 95 (130-170 g/L Male, 120-160 g/L Female), MCV 68 (80-95 fl), Platelets count 530 (150-400 x 109/L), Total iron binding capacity 28 (11.6-31.3 umol/L Male, 9-30.4 umol/L Female), Ferritin 3 (20-300 ug/L Male, 20-120 ug/L Female). Apart from starting iron supplement, which of the following is the most appropriate next step in management?",Urea breath test,Stool occult blood,CT-scan abdomen and pelvis,Endoscopy and colonoscopy,D,Internal medicine,Gastroenterology,Highlighted,"Wrong as the definitive step. A urea breath test screens for H. pylori and would follow endoscopic findings of an ulcer, but does not itself identify a bleeding source.","Wrong. Faecal occult blood testing has a significant false-negative rate and is a SCREENING tool for asymptomatic populations - in confirmed iron deficiency anaemia, direct visualisation is required regardless of the result.","Wrong as first-line. CT is less sensitive than endoscopy for the small mucosal lesions (early cancers, polyps, angiodysplasia, ulcers) causing occult GI bleeding, and does not permit biopsy.","CORRECT. Unexplained iron deficiency anaemia in a patient AGED 50 OR OVER MANDATES BIDIRECTIONAL ENDOSCOPY - both upper GI endoscopy AND colonoscopy - to identify the source of blood loss, most importantly to exclude colorectal or gastric malignancy, alongside iron replacement.","UNEXPLAINED IRON DEFICIENCY ANAEMIA IS GASTROINTESTINAL MALIGNANCY UNTIL PROVEN OTHERWISE, ESPECIALLY OVER 50. STANDARD WORKUP: bidirectional endoscopy to visualise the whole accessible GI tract and biopsy any suspicious lesion - colorectal carcinoma/polyps (the key target), gastric carcinoma, peptic ulcer disease, angiodysplasia, coeliac disease (duodenal biopsy). IF BOTH ARE UNREVEALING and deficiency persists, proceed to small bowel investigation (capsule endoscopy or CT/MR enterography) for a Meckel's diverticulum or small bowel angiodysplasia. Iron replacement is started CONCURRENTLY, not instead of, the endoscopic workup.",Iron deficiency anaemia after 50 means scope both ends - do not settle for iron tablets alone.,Accurate.
"A 46-year-old man comes to the clinic with dyspnea on exertion and palpitations. On examination, he has patches of vitiligo (see lab results). Hb 89 (130-170 g/L Male, 120-160 g/L Female), MCV 103 (80-95 fl), Platelets count 128 (150-400 x 109/L), Ferritin 105 (20-300 g/L Male, 20-120 g/L Female), Vitamin B12 (Men) 122 (160-900 ng/L), Folic Acid (Men) 8 (<4 ug/L). Which of the following is the most appropriate test to be ordered next?",Gastroscopy and antral biopsy,Intrinsic factor antibodies,Anti-gliadin antibodies,Colonoscopy,B,Internal medicine,Hematology,Highlighted,"Wrong as the specific next step, though gastroscopy features later. Gastroscopy WITH FUNDIC/BODY (not antral) biopsy is eventually needed, but the more specific, first confirmatory test is intrinsic factor antibody testing.","CORRECT. MACROCYTIC anaemia (MCV 103) with LOW B12, in a patient with VITILIGO (an autoimmune condition clustering with pernicious anaemia), points to autoimmune atrophic gastritis. INTRINSIC FACTOR ANTIBODIES are highly SPECIFIC and confirm the diagnosis.","Wrong. Anti-gliadin antibodies test for coeliac disease, which typically causes iron/folate malabsorption, not this B12-predominant picture with vitiligo.","Wrong. Colonoscopy investigates lower GI pathology, typically prompted by iron deficiency, not the B12-deficiency picture here.","PERNICIOUS ANAEMIA - AN AUTOIMMUNE DISEASE CLUSTERING WITH OTHER AUTOIMMUNE CONDITIONS. Autoimmune destruction of gastric parietal cells causes atrophic gastritis, loss of intrinsic factor, and B12 malabsorption. ASSOCIATED CONDITIONS: autoimmune thyroid disease, type 1 diabetes, VITILIGO (as here), Addison's. DIAGNOSTIC HIERARCHY: intrinsic factor antibodies (specific, ~50-70% sensitive), parietal cell antibodies (more sensitive, less specific), gastroscopy with BODY/FUNDIC biopsy to confirm atrophic gastritis and screen for the increased gastric cancer/carcinoid risk. NEUROLOGICAL FEATURE: subacute combined degeneration - and NEVER give folate alone without checking B12, since it can mask the anaemia while neurological damage progresses. TREATMENT: parenteral B12 (oral absorption is impaired by lack of intrinsic factor).",Macrocytic anaemia plus vitiligo points to pernicious anaemia - confirm it with intrinsic factor antibodies.,Accurate.
"A 59-year-old man has unsteady gait. On examination, he has decreased proprioception in the lower limbs with positive planter reflexes (positive Babinski) and absent ankle and knee's reflexes. He has anemia. Peripheral smear done (see image). Which of the following is the most likely diagnosis?",Alcoholism,Iron deficiency,B12 deficiency,Hypothyroidism,C,Internal medicine,Hematology,Highlighted,"Wrong. Alcoholic neuropathy causes symmetrical, length-dependent sensorimotor neuropathy with reduced ankle reflexes, but does NOT classically combine an upgoing plantar (upper motor neuron) with absent reflexes (lower motor neuron) in the same limb.",Wrong. Iron deficiency causes microcytic anaemia and does not cause a combined myelopathy.,CORRECT. DECREASED PROPRIOCEPTION (dorsal columns) plus a POSITIVE BABINSKI (corticospinal tract) plus ABSENT ankle/knee reflexes (peripheral neuropathy) with anaemia is SUBACUTE COMBINED DEGENERATION from B12 DEFICIENCY - a mixed upper/lower motor neuron and sensory syndrome essentially unique to B12 deficiency.,"Wrong. Hypothyroidism may cause a mild anaemia and neuropathy or carpal tunnel, but not this specific combined dorsal column plus corticospinal syndrome.","SUBACUTE COMBINED DEGENERATION - THE SIGNATURE SYNDROME OF B12 DEFICIENCY. Demyelination of the DORSAL COLUMNS causes loss of proprioception/vibration (sensory ataxic gait, positive Romberg); demyelination of the LATERAL CORTICOSPINAL TRACTS causes upper motor neuron signs (spasticity, hyperreflexia, upgoing plantar); a SUPERIMPOSED PERIPHERAL NEUROPATHY causes lower motor neuron signs (absent ankle/knee reflexes). THE APPARENT PARADOX OF SIMULTANEOUS UMN AND LMN SIGNS IS THE CLASSIC CLUE. SMEAR: macro-ovalocytes, hypersegmented neutrophils. WORKUP: serum B12, then methylmalonic acid (specific to B12) if borderline. TREATMENT: parenteral B12 - and neurological damage may only be PARTIALLY reversible if treatment is delayed, so never give folate alone without excluding B12 first.","Sensory ataxia, an upgoing toe, and absent ankle jerks together mean B12 - the classic mixed picture of subacute combined degeneration.",Accurate.
"A 65-year-old-woman has decreased concentration (see lab results). Hb 89 (130-170 g/L Male, 120-160 g/L Female), MCV 106 (80-95 fl), Platelets count 129 (150-400 x 109/L), Vitamin B12 (Women) 0,46 (0.12-0.66 nmol/L), Folic Acid (Women) 0.03 (<0.1 umol/L). Which of the following would be found on further testing?",High methyl malonic acid and normal homocysteine,High methyl malonic acid and high homocysteine,Normal methyl malonic acid and high homocysteine,Low methyl malonic acid and low homocysteine,C,Internal medicine,Hematology,Highlighted,"Wrong. Her B12 (0.46) is NORMAL, so methylmalonic acid - specific to B12 status - should be NORMAL, not high.",Wrong for the same reason.,"CORRECT. Normal B12 but LOW folate indicates ISOLATED FOLATE DEFICIENCY. Methylmalonic acid, specific to B12, stays NORMAL; homocysteine, elevated in EITHER deficiency, will be RAISED.",Wrong. Neither metabolite falls in a deficiency state - both rise when their cofactor is lacking.,"METHYLMALONIC ACID VERSUS HOMOCYSTEINE. Both B12 and folate are needed to remethylate homocysteine to methionine, so HOMOCYSTEINE RISES IN EITHER DEFICIENCY (sensitive, non-specific). Methylmalonyl-CoA mutase requires B12 only, so METHYLMALONIC ACID IS SPECIFIC TO B12 DEFICIENCY and stays normal in isolated folate deficiency. Here B12 is normal and folate is low - isolated folate deficiency, so methylmalonic acid will be normal while homocysteine is raised. CAUSES OF FOLATE DEFICIENCY: poor intake (elderly, alcoholics), increased demand (pregnancy, haemolysis, malignancy), malabsorption, drugs (methotrexate, trimethoprim, phenytoin). Folate deficiency causes megaloblastic anaemia WITHOUT the neurological complications of B12 deficiency.",Homocysteine rises with either deficiency; methylmalonic acid rises only with B12 - so it is the test that tells them apart.,Accurate.
"A 46-year-old man has dyspnea on exertion and palpitations. On examination, he has patches of vitiligo and has absent reflexes with positive Babinski in the lower limbs (see lab results). Hb 91 (130-170 g/L Male, 120-160 g/L Female), MCV 103 (80-95 fl), Platelets count 129 (150-400 x 109/L), Ferritin 120 (20-300 g/L Male, 20-120 g/L Female), Vitamin B12 (Men) 124 (160-900 ng/L), Folic Acid (Men) 6 (<4 ug/L). Which of the following is the most appropriate management?",Oral iron supplement,Oral b12 supplement,Folate supplement,Parenteral b12 supplement,D,Internal medicine,Hematology,Highlighted,Wrong. Ferritin is normal (120); there is no iron deficiency.,"Wrong. In AUTOIMMUNE B12 deficiency (his vitiligo suggests pernicious anaemia) with ESTABLISHED NEUROLOGICAL involvement, oral replacement is unreliable and parenteral therapy is standard.","Wrong, and potentially harmful. His folate is RAISED (6, above the stated upper limit), not deficient - giving folate alone without correcting B12 risks masking the picture while neurological damage progresses.","CORRECT. Low B12, macrocytic anaemia, and CLASSIC SUBACUTE COMBINED DEGENERATION signs (absent reflexes plus positive Babinski) with vitiligo (autoimmune B12 malabsorption) mean he needs PARENTERAL B12 REPLACEMENT.","WHY PARENTERAL B12 HERE. His picture points to pernicious anaemia - autoimmune loss of intrinsic factor - so the ABSORPTION mechanism itself is defective, and oral B12 cannot be relied upon. STANDARD TREATMENT: IM hydroxocobalamin, loading course then maintenance every 2-3 months, LIFELONG. URGENCY WITH NEUROLOGICAL SIGNS: delay risks permanent, irreversible damage. THE CRITICAL RULE reinforced by his RAISED folate: never give folate before or without correcting B12, since it can correct the anaemia while neurological damage progresses silently. Arrange gastroscopy for gastric cancer surveillance and screen for clustering autoimmune conditions.","Autoimmune B12 deficiency with neurological signs gets parenteral B12, promptly - and never folate alone.",Accurate.
"A 35-year-old woman has fever and headache for 2 days. On examination, she has a scattered petichiae over her body. Her platelets are 32. Peripheral smear done (see image and lab results). Temperature 38.6 C. Platelets count 32 (150-400 x 109/L), Hb 11.2 (130-170 g/L Male, 120-160 g/L Female), MCV 102 (80-95 fl), Reticulocyte 4.9 (0.2-1.2 %), Lactate dehydrogenase 690 (60-160 IU/L), Indirect bilirubin 43 (3.2-12.1 umol/L), Total bilirubin 65 (3.5-16.5 umol/L), Creatinine 66 (44-115 umol/L), APTT 36 (30-40 sec), INR 1.1 (0.8-1.2), Prothrombin time 11 (10-13 sec). Which of the following is the most likely diagnosis?",Immune thrombocytopenia (ITP),Hemolytic uremic syndrome (HUS),Thrombotic thrombocytopenic purpura (TTP),Disseminated intravascular coagulopathy (DIC),C,Internal medicine,Hematology,Highlighted,"Wrong. ITP causes isolated thrombocytopenia WITHOUT haemolysis - here LDH, indirect bilirubin and reticulocytes are all raised, showing microangiopathic haemolysis.","Wrong, and this is the deliberate discriminator. HUS shares the microangiopathic picture but is defined by PROMINENT renal injury - here CREATININE IS NORMAL (66), arguing against HUS and favouring TTP, where fever and neurological symptoms dominate.","CORRECT. Thrombocytopenia, haemolysis (raised LDH, indirect bilirubin, reticulocytes), fever, headache, NORMAL renal function and NORMAL coagulation fit TTP.","Wrong. DIC produces a PROLONGED PT and APTT and LOW FIBRINOGEN - here coagulation is essentially normal, arguing against DIC.","TTP VERSUS HUS VERSUS DIC. All three share microangiopathic haemolytic anaemia (schistocytes, raised LDH/indirect bilirubin/reticulocytes) and thrombocytopenia. TTP: pentad of haemolysis, thrombocytopenia, FEVER, mild renal dysfunction, NEUROLOGICAL symptoms; caused by severe ADAMTS13 deficiency (usually autoantibody-mediated); COAGULATION IS NORMAL, since this is platelet-mediated not clotting-factor consumption. HUS: dominated by SEVERE acute kidney injury, often post-diarrhoeal (Shiga-toxin E. coli) in children; coagulation also normal. DIC: CONSUMPTIVE - prolonged PT/APTT, low fibrinogen, secondary to sepsis/malignancy/obstetric catastrophe. MANAGEMENT OF TTP is an emergency: PLASMA EXCHANGE is definitive; PLATELET TRANSFUSION IS GENERALLY AVOIDED unless life-threatening bleeding, since it can fuel further microvascular thrombosis.","Fever, headache, haemolysis, low platelets, but clean coagulation and clean kidneys: that is TTP.",Accurate.
"A 38-year-old woman has fever and headache for 2 days. On examination, she has a scattered petichiae over her body. Peripheral smear done (see image and lab results). Temperature 38.6 C. Hb 112 (130-170 g/L Male, 120-160 g/L Female), Reticulocyte 5.6 (0.2-1.2 %), Platelets count 32 (150-400 x 109/L), Indirect bilirubin 48 (3.2-12.1 umol/L), Total bilirubin 76 (3.5-16.5 umol/L), Lactate dehydrogenase 690 (60-160 IU/L), APTT 33 (30-40 sec), INR 1.0 (0.8-1.2), Prothrombin time 10 (10-13 sec). Which of the following is the most appropriate treatment?",Intravenous immunoglobulin and prednisone,Transfuse platelets,Plasma exchange,Argatroban,C,Internal medicine,Hematology,Highlighted,"Wrong. IVIG and steroids treat ITP, which does not cause this microangiopathic haemolysis.","Wrong, and DANGEROUS. In TTP, platelet transfusion is generally avoided unless there is life-threatening haemorrhage, because it can fuel further microvascular thrombosis.","CORRECT. Same picture as the preceding TTP question. PLASMA EXCHANGE is the definitive, life-saving treatment - removing the ADAMTS13 autoantibody and ultra-large von Willebrand factor multimers while replenishing functional ADAMTS13.","Wrong. Argatroban is a direct thrombin inhibitor for heparin-induced thrombocytopenia, not TTP.","TTP TREATMENT - PLASMA EXCHANGE IS THE CORNERSTONE, STARTED URGENTLY, since untreated TTP mortality approaches 90%, versus under 10-20% with prompt treatment. Plasma exchange REMOVES the pathogenic antibody and ultra-large VWF multimers WHILE REPLENISHING ADAMTS13 - addressing both sides of the pathophysiology, unlike simple plasma infusion. Add CORTICOSTEROIDS; RITUXIMAB for refractory/relapsing disease; CAPLACIZUMAB as a newer adjunct. AVOID PLATELET TRANSFUSION unless life-threatening bleeding - one of the most important 'do not' rules in haematology, since the reflex to transfuse a bleeding thrombocytopenic patient is dangerous here.","TTP is a plasma-exchange emergency - and do not transfuse the platelets, that can make it worse.",Accurate.
A 48-year-old man develops right popliteal vein thrombosis post-sleeve surgery. He is started on enoxaparin and warfarin. What is the target therapeutic international normalization ratio range for this patient?,1-1.9,2026-03-02 00:00:00,3.1-4,No need for monitoring,B,Internal medicine,Hematology,Not,"Wrong. INR 1-1.9 is subtherapeutic for standard VTE treatment, leaving him at continued clot risk.","CORRECT. For standard VTE, target INR is 2.0-3.0.",Wrong. 3.1-4 is the higher target reserved for a MECHANICAL MITRAL VALVE or recurrent VTE despite therapeutic standard-range anticoagulation.,"Wrong, and dangerous. Warfarin's narrow therapeutic index and variable dose-response make regular INR monitoring essential.","WARFARIN INR TARGETS. Standard VTE (DVT/PE): 2.0-3.0. Atrial fibrillation: 2.0-3.0. Mechanical heart valves: higher, ~2.5-3.5. Recurrent VTE despite therapeutic warfarin: sometimes ~3.0-4.0. BRIDGING WITH ENOXAPARIN: warfarin takes days to become therapeutic (inhibits synthesis of new vitamin K-dependent factors) and can PARADOXICALLY cause transient hypercoagulability early (depletes protein C/S, which have short half-lives, before depleting procoagulant factors II/IX/X) - hence overlap for at least 5 days and until INR is therapeutic for 24 hours. Duration for a first PROVOKED VTE (post-surgical, as here) is typically 3 months.",Standard VTE on warfarin means an INR of 2 to 3 - and bridge with heparin until it gets there.,Accurate.
